
 The speakers in the  []  debates are: 
 ['#president']
         13692 function calls (12729 primitive calls) in 0.020 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 /home/tebogo/anaconda3/lib/python3.7/site-packages/numpy/core/fromnumeric.py:73(_wrapreduction)
        1    0.000    0.000    0.000    0.000 {built-in method _pickle.load}
        2    0.000    0.000    0.000    0.000 {built-in method io.open}
        2    0.000    0.000    0.000    0.000 /home/tebogo/anaconda3/lib/python3.7/abc.py:137(__instancecheck__)
        2    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
       63    0.000    0.000    0.000    0.000 /home/tebogo/anaconda3/lib/python3.7/sre_parse.py:168(__setitem__)
      6/2    0.000    0.000    0.000    0.000 /home/tebogo/anaconda3/lib/python3.7/abc.py:141(__subclasscheck__)
      9/1    0.000    0.000    0.000    0.000 /home/tebogo/anaconda3/lib/python3.7/ast.py:64(_convert)
      6/2    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       46    0.000    0.000    0.000    0.000 /home/tebogo/anaconda3/lib/python3.7/sre_parse.py:81(groups)
       62    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       21    0.000    0.000    0.000    0.000 <string>:1(__new__)
       19    0.000    0.000    0.000    0.000 /home/tebogo/anaconda3/lib/python3.7/types.py:164(__get__)
        1    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        2    0.000    0.000    0.000    0.000 {method 'send' of 'mpi4py.MPI.Comm' objects}
       13    0.000    0.000    0.000    0.000 /home/tebogo/anaconda3/lib/python3.7/sre_parse.py:295(_class_escape)
       20    0.000    0.000    0.000    0.000 /home/tebogo/anaconda3/lib/python3.7/tokenize.py:225(add_whitespace)
        1    0.000    0.000    0.000    0.000 /home/tebogo/anaconda3/lib/python3.7/enum.py:836(__and__)
        1    0.000    0.000    0.000    0.000 /home/tebogo/anaconda3/lib/python3.7/sre_compile.py:536(_compile_info)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        3    0.000    0.000    0.000    0.000 /home/tebogo/anaconda3/lib/python3.7/site-packages/numpy/lib/format.py:874(_read_bytes)
       22    0.000    0.000    0.000    0.000 /home/tebogo/anaconda3/lib/python3.7/sre_compile.py:65(_combine_flags)
       21    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x56232b950260}
        1    0.000    0.000    0.000    0.000 /home/tebogo/anaconda3/lib/python3.7/site-packages/numpy/lib/format.py:220(read_magic)
        4    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.000    0.000 {method 'Get_rank' of 'mpi4py.MPI.Comm' objects}
       19    0.000    0.000    0.000    0.000 /home/tebogo/anaconda3/lib/python3.7/enum.py:628(value)
        1    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedReader' objects}
        9    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 /home/tebogo/anaconda3/lib/python3.7/sre_parse.py:224(__init__)
        2    0.000    0.000    0.000    0.000 /home/tebogo/anaconda3/lib/python3.7/enum.py:284(__call__)
       19    0.000    0.000    0.000    0.000 {method 'span' of 're.Match' objects}
        3    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
        1    0.000    0.000    0.000    0.000 /home/tebogo/anaconda3/lib/python3.7/site-packages/numpy/lib/format.py:274(descr_to_dtype)
        1    0.000    0.000    0.000    0.000 {built-in method numpy.zeros}
        1    0.000    0.000    0.000    0.000 {built-in method _struct.calcsize}
        1    0.000    0.000    0.000    0.000 /home/tebogo/anaconda3/lib/python3.7/os.py:1076(__subclasshook__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.000    0.000 /home/tebogo/anaconda3/lib/python3.7/site-packages/numpy/compat/py3k.py:49(isfileobj)
        3    0.000    0.000    0.000    0.000 {method 'readline' of '_io.StringIO' objects}
        5    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        2    0.000    0.000    0.000    0.000 /home/tebogo/anaconda3/lib/python3.7/enum.py:526(__new__)
        1    0.000    0.000    0.000    0.000 /home/tebogo/anaconda3/lib/python3.7/tokenize.py:219(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       12    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       10    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 /home/tebogo/anaconda3/lib/python3.7/site-packages/numpy/lib/format.py:592(<listcomp>)
        1    0.000    0.000    0.000    0.000 /home/tebogo/anaconda3/lib/python3.7/site-packages/numpy/core/arrayprint.py:74(<dictcomp>)
        2    0.000    0.000    0.000    0.000 /home/tebogo/anaconda3/lib/python3.7/sre_compile.py:595(isstring)
        1    0.000    0.000    0.000    0.000 /home/tebogo/anaconda3/lib/python3.7/sre_parse.py:76(__init__)
        1    0.000    0.000    0.000    0.000 /home/tebogo/anaconda3/lib/python3.7/sre_parse.py:903(fix_flags)
        1    0.000    0.000    0.000    0.000 {method 'seek' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {method 'startswith' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 /home/tebogo/anaconda3/lib/python3.7/site-packages/numpy/core/fromnumeric.py:74(<dictcomp>)
        1    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.set_legacy_print_mode}
        1    0.000    0.000    0.000    0.000 /home/tebogo/anaconda3/lib/python3.7/tokenize.py:672(generate_tokens)
        1    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        1    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 /home/tebogo/anaconda3/lib/python3.7/site-packages/numpy/lib/format.py:190(_check_version)
        1    0.000    0.000    0.000    0.000 {method 'Get_size' of 'mpi4py.MPI.Comm' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _struct.unpack}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
        1    0.000    0.000    0.000    0.000 /home/tebogo/anaconda3/lib/python3.7/site-packages/numpy/core/fromnumeric.py:2273(_all_dispatcher)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}


         36 function calls (28 primitive calls) in 0.109 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.109    0.109 search.py:28(allocate)
        1    0.109    0.109    0.109    0.109 {method 'bcast' of 'mpi4py.MPI.Comm' objects}
        1    0.000    0.000    0.000    0.000 /home/tebogo/anaconda3/lib/python3.7/site-packages/numpy/core/arrayprint.py:98(set_printoptions)
        1    0.000    0.000    0.000    0.000 /home/tebogo/anaconda3/lib/python3.7/site-packages/numpy/core/arrayprint.py:69(_make_options_dict)
        1    0.000    0.000    0.000    0.000 /home/tebogo/Desktop/bigdatalabs/project/functions.py:10(readDebatesDictionary)
        2    0.000    0.000    0.000    0.000 {built-in method _pickle.load}
        1    0.000    0.000    0.000    0.000 /home/tebogo/Desktop/bigdatalabs/project/functions.py:15(readSpeakersDictionary)
        1    0.000    0.000    0.000    0.000 {method 'send' of 'mpi4py.MPI.Comm' objects}
        2    0.000    0.000    0.000    0.000 {built-in method io.open}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.000    0.000 /home/tebogo/anaconda3/lib/python3.7/abc.py:137(__instancecheck__)
        1    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
      5/1    0.000    0.000    0.000    0.000 /home/tebogo/anaconda3/lib/python3.7/abc.py:141(__subclasscheck__)
      5/1    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.000    0.000 {method 'recv' of 'mpi4py.MPI.Comm' objects}
        1    0.000    0.000    0.000    0.000 {method 'Get_rank' of 'mpi4py.MPI.Comm' objects}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
        1    0.000    0.000    0.000    0.000 /home/tebogo/anaconda3/lib/python3.7/site-packages/numpy/core/arrayprint.py:74(<dictcomp>)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.set_legacy_print_mode}
        1    0.000    0.000    0.000    0.000 {method 'Get_size' of 'mpi4py.MPI.Comm' objects}
        1    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}



         57779 function calls (55468 primitive calls) in 0.320 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(<module>)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(concatenate)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(copyto)
   805/66    0.001    0.000    0.186    0.003 <frozen importlib._bootstrap>:1009(_handle_fromlist)
      445    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
      136    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
      136    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:147(__enter__)
      136    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
      445    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      135    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
      309    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
    196/4    0.000    0.000    0.210    0.052 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     1061    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
      130    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
      130    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
      130    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:318(__exit__)
      520    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
      110    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      135    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
      240    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:403(cached)
      364    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(parent)
      130    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
      130    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
      130    0.000    0.000    0.018    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
      135    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
    130/4    0.001    0.000    0.211    0.053 <frozen importlib._bootstrap>:663(_load_unlocked)
      135    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:719(find_spec)
      445    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:78(acquire)
      135    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:792(find_spec)
      410    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:855(__enter__)
      410    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:859(__exit__)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:873(_find_spec_legacy)
      135    0.002    0.000    0.018    0.000 <frozen importlib._bootstrap>:882(_find_spec)
    136/4    0.001    0.000    0.212    0.053 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
    136/4    0.001    0.000    0.212    0.053 <frozen importlib._bootstrap>:978(_find_and_load)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1029(__init__)
       20    0.000    0.000    0.012    0.001 <frozen importlib._bootstrap_external>:1040(create_module)
    20/15    0.000    0.000    0.026    0.002 <frozen importlib._bootstrap_external>:1048(exec_module)
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
      198    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
      135    0.001    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
      135    0.000    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1319(__init__)
      128    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1325(<genexpr>)
      130    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
      185    0.003    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1445(path_hook_for_FileFinder)
      220    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
      130    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
      185    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:40(_relax_case)
      110    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
      110    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
      110    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
      330    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
      110    0.001    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
      971    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
      130    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
      971    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
      220    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
      110    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:719(create_module)
    110/3    0.001    0.000    0.191    0.064 <frozen importlib._bootstrap_external>:722(exec_module)
      489    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
      110    0.002    0.000    0.034    0.000 <frozen importlib._bootstrap_external>:793(get_code)
